Vehicle_Type,Vehicle_Age,Mileage,Engine_Temp,RPM,Oil_Pressure,Fuel_Consumption,Battery_Voltage,Brake_Pressure,Tire_Pressure,Tire_Condition,Vibration_Level,Last_Service_Months,Accident_History,KM_Range_Before_Defect,Remaining_KM
SUV,6,180256,95,903,35,10.5,12.22,29,29,Critical,Low,12,No,10000-25000,15972.27114
Hatchback,2,71549,88,2613,32,13.8,12.67,40,30,Moderate,Low,8,No,50000-80000,63876.33855
SUV,1,153598,97,1451,40,12.7,12.15,31,33,Moderate,Medium,7,No,50000-80000,50332.49193
Hatchback,8,237373,98,2363,35,15.6,12.4,27,30,Good,Low,8,No,50000-80000,52960.1237
Hatchback,12,157156,99,1521,34,18.5,12.11,31,29,Good,Medium,9,No,50000-80000,57181.6178
Truck,1,118606,107,3336,22,4.2,11.96,41,35,Worn,High,9,No,3000-10000,5731.410788
Sedan,10,146963,94,2784,30,13.6,12.36,42,31,Good,Low,10,No,80000+,99339.50587
Truck,3,24443,95,2939,18,2.9,12.42,36,33,Moderate,Low,10,No,10000-25000,10821.18368
Truck,4,189479,102,870,25,3.7,12.13,45,31,Worn,Low,12,No,10000-25000,13608.15811
Hatchback,4,26804,88,2896,31,20.4,12.57,34,34,Good,Low,2,No,80000+,90127.37376
Sedan,7,84583,96,2439,31,15.3,12,28,32,Critical,Low,10,Yes,10000-25000,12851.4126
SUV,9,151261,103,3431,30,10.6,12.56,25,30,Good,Low,11,No,50000-80000,69020.61883
Truck,8,24605,109,2111,19,3.9,12.52,37,34,Critical,Medium,11,No,0-3000,1355.488196
SUV,1,77988,102,2326,37,8.3,12.15,27,34,Good,High,10,No,50000-80000,51617.66896
Truck,6,107812,116,735,18,4.9,11.87,29,28,Worn,Low,10,No,3000-10000,6725.384551
Sedan,8,216881,92,2690,32,13.1,12.24,45,30,Moderate,High,7,No,25000-50000,40768.23162
Truck,2,209538,116,3263,34,7.2,11.93,27,35,Good,High,2,No,10000-25000,19029.9813
Truck,9,243856,107,3175,33,11,12.65,26,32,Moderate,Low,7,No,10000-25000,17843.93137
Truck,12,216401,93,2909,20,9.5,12.75,35,32,Good,High,4,No,10000-25000,17638.01703
SUV,10,85821,104,1231,28,11.5,12.48,41,29,Moderate,High,5,No,25000-50000,40557.55653
Sedan,11,50052,83,2661,32,14.7,12.58,29,35,Good,Low,1,No,80000+,101512.1995
Hatchback,11,84908,94,2294,32,20.2,12.16,38,36,Moderate,Low,1,No,80000+,103775.3601
SUV,5,229031,96,1189,30,9.8,11.81,45,36,Critical,Medium,12,No,10000-25000,17015.06322
SUV,11,15784,101,2162,37,13.2,12.2,32,30,Critical,High,10,No,10000-25000,18051.27508
Truck,12,46339,115,641,36,9.4,12.12,39,35,Good,Low,6,No,25000-50000,49844.0199
SUV,3,58287,101,1060,30,7.1,12.41,37,31,Worn,Medium,1,No,50000-80000,65875.24525
Truck,10,9016,95,2465,22,7.5,12.28,32,36,Critical,Medium,10,No,10000-25000,14293.97486
Sedan,1,136970,87,1992,41,13,11.78,45,28,Good,High,12,No,25000-50000,35646.09379
Truck,3,35192,101,2485,32,10.2,11.77,26,34,Good,High,6,No,10000-25000,20657.7884
SUV,10,212809,98,740,39,11,12.69,44,36,Good,Low,10,No,80000+,84130.33423
Truck,10,142136,95,2546,24,11.3,12.03,30,36,Good,Medium,12,No,10000-25000,18609.57615
Sedan,3,101487,96,1434,30,17,12.43,27,32,Good,Low,11,No,25000-50000,33651.40834
Hatchback,9,233981,100,2507,38,15.9,12.49,39,36,Worn,Low,12,Yes,25000-50000,36926.62404
Sedan,6,188940,95,2902,36,12,12.22,28,32,Moderate,Low,8,No,50000-80000,78108.41964
Truck,11,117689,107,646,23,8.5,11.8,37,32,Good,Low,7,No,25000-50000,37277.12423
Hatchback,12,176942,90,2974,46,17.2,11.92,32,34,Good,Medium,7,No,80000+,93684.96161
SUV,3,229112,98,2072,37,10.6,11.79,35,32,Good,Medium,6,No,80000+,92744.39702
SUV,1,194624,94,3184,34,15,11.91,29,35,Worn,High,10,No,25000-50000,37113.4751
Sedan,4,92765,101,1998,32,13.2,12.38,31,31,Worn,Medium,3,No,25000-50000,30342.8614
Truck,1,217877,108,865,24,5,11.76,45,32,Good,Medium,10,Yes,10000-25000,23702.27495
Truck,11,93896,108,3175,26,8.3,12.15,30,32,Moderate,Low,7,No,10000-25000,12132.34759
Hatchback,12,157562,93,1322,42,16.8,12.15,25,32,Good,Low,12,No,50000-80000,50753.50831
Truck,5,239879,97,2356,27,6.7,11.96,26,36,Good,Medium,7,No,25000-50000,28382.71188
Truck,1,188645,110,1394,26,5.1,12.23,34,36,Good,Low,9,Yes,10000-25000,20851.66669
Hatchback,8,241912,91,1041,34,21,12.62,27,29,Moderate,Low,4,No,50000-80000,51862.51444
SUV,8,153129,94,2385,38,13.1,12.3,34,31,Good,High,11,Yes,25000-50000,34917.34318
Sedan,8,112965,89,1557,32,15.4,12.3,39,36,Good,Medium,11,No,25000-50000,36499.83485
Truck,6,134631,113,3447,30,8.6,12.61,41,29,Good,Low,5,No,25000-50000,27238.98481
Hatchback,4,170332,88,2046,42,16.2,12,26,36,Good,Low,5,Yes,80000+,84726.5002
SUV,6,159096,99,2857,32,12,12.23,31,34,Good,High,8,No,25000-50000,28355.28104
Sedan,8,81134,93,1414,41,18.1,12.78,30,29,Good,Low,2,No,80000+,91181.79267
Truck,4,78728,114,1703,24,5.6,12.08,32,35,Moderate,High,10,No,3000-10000,7819.383747
Hatchback,3,239488,89,1603,42,15.1,12.12,27,29,Good,Low,4,No,80000+,93344.37089
SUV,1,60667,94,1355,30,12.5,12.64,29,34,Moderate,Medium,3,Yes,50000-80000,59164.91858
SUV,8,7104,90,1831,35,11.5,12.03,44,29,Good,High,3,No,50000-80000,68840.95863
SUV,4,236143,87,1219,33,10.4,11.98,41,29,Moderate,Low,6,No,80000+,97739.7154
Sedan,7,181137,86,2497,36,13.3,12.13,28,33,Worn,Low,4,Yes,50000-80000,56305.1277
Truck,8,23751,112,1895,28,5.6,11.82,32,34,Critical,Low,8,Yes,3000-10000,3563.446199
Hatchback,12,200203,92,1867,42,16.9,11.85,43,31,Moderate,Low,10,No,80000+,92646.43942
Sedan,11,61741,86,2057,36,18.3,12.07,37,35,Critical,Low,6,Yes,25000-50000,25449.60447
Sedan,9,6318,96,3446,37,10.8,12.71,37,30,Good,High,3,No,25000-50000,38974.7613
Truck,2,43209,115,1581,37,4.7,11.82,45,29,Critical,Medium,4,No,3000-10000,8358.079053
Truck,12,80012,108,1735,35,8.5,12.76,32,35,Moderate,Medium,7,No,10000-25000,20365.82823
SUV,7,35331,102,828,33,10.4,11.9,32,35,Moderate,Low,2,No,80000+,89625.31805
Truck,4,181128,94,769,36,6.2,11.89,32,28,Good,Low,8,No,80000+,99922.0209
Sedan,5,246723,86,2707,43,13.7,12.51,37,30,Good,Medium,3,Yes,50000-80000,79725.33302
Truck,9,230527,105,2129,20,8.2,12.08,44,35,Moderate,Low,5,No,10000-25000,13664.93607
SUV,12,157463,91,2890,36,7,11.78,41,31,Good,Low,12,No,80000+,98899.71523
SUV,8,122465,98,2199,35,11.2,12.44,44,33,Good,Medium,1,Yes,50000-80000,72074.13367
Hatchback,12,59778,87,2606,41,18.9,12.65,34,32,Good,Medium,12,Yes,25000-50000,28168.19619
Hatchback,8,12625,89,2655,30,15.9,12.55,28,28,Good,Medium,4,No,50000-80000,53752.65582
Sedan,4,243086,102,670,36,16.8,12.57,31,33,Moderate,Low,10,No,50000-80000,60085.76259
Truck,6,85921,114,2585,28,5.8,12.31,36,34,Good,Low,6,Yes,10000-25000,16930.03854
SUV,9,32196,102,801,27,10.6,11.98,43,35,Moderate,Medium,1,No,50000-80000,59753.75538
SUV,7,193167,96,1431,34,12.1,11.83,36,30,Moderate,Low,8,No,50000-80000,61519.52698
Sedan,4,55310,96,2978,33,16.9,12.77,42,31,Moderate,High,3,Yes,10000-25000,17436.30338
Sedan,11,79698,101,836,30,16.9,12.69,35,36,Good,Low,6,No,50000-80000,51457.68695
Truck,4,40395,105,2498,35,7.9,11.75,41,34,Good,High,9,Yes,10000-25000,21160.28459
Truck,10,162440,105,858,18,9.1,11.77,36,29,Good,High,7,No,3000-10000,5364.556672
Truck,5,140380,98,664,26,8.7,12.73,41,31,Critical,Medium,2,No,10000-25000,20504.14033
Hatchback,12,16949,87,3394,43,17.2,12.24,28,34,Good,Medium,6,Yes,50000-80000,60853.76055
Hatchback,10,118588,98,2685,34,15.3,12.58,45,33,Moderate,Medium,12,No,10000-25000,16990.39295
SUV,4,171158,97,3016,31,11.5,12.65,29,28,Good,Low,4,No,80000+,94593.60041
SUV,9,9864,102,2694,37,12.6,12.38,33,35,Moderate,High,11,No,10000-25000,21284.56946
Hatchback,10,47857,95,1219,34,15,12.36,40,29,Good,Low,6,No,50000-80000,57989.61736
SUV,1,134929,88,2725,29,13.3,12.55,45,28,Good,Medium,10,No,80000+,100800.0343
SUV,10,33040,104,2373,32,9.8,11.97,44,30,Good,Low,6,Yes,50000-80000,54524.98701
SUV,3,160222,98,1879,27,12.1,11.83,34,30,Moderate,Medium,1,No,50000-80000,61558.68783
Truck,6,213816,96,3056,36,8.5,11.78,25,32,Good,Low,2,Yes,50000-80000,51998.012
SUV,5,237461,99,1645,31,10.2,12.74,26,32,Good,Low,7,Yes,50000-80000,74948.40797
Truck,6,184128,110,1542,21,3.1,12.01,35,31,Good,Medium,8,No,3000-10000,5222.179006
Hatchback,7,139068,90,3261,29,20.7,12.04,28,33,Good,High,12,No,10000-25000,13534.41668
Truck,12,144559,96,1167,36,4.6,12.31,33,35,Worn,High,3,No,10000-25000,20668.00122
Hatchback,3,90908,94,2846,46,18.8,12.08,26,33,Moderate,Low,8,No,80000+,89521.96984
Hatchback,8,143913,88,3013,44,18.6,12.14,38,32,Good,Low,8,No,80000+,86387.12047
Truck,8,139868,96,2592,23,10.4,12.22,35,32,Good,Low,10,No,50000-80000,61096.74102
Truck,7,40465,101,1401,20,6.8,12.17,35,30,Good,Medium,3,No,10000-25000,19451.94292
Truck,12,100260,115,731,32,5.6,12.23,42,35,Good,High,10,No,3000-10000,6891.627216
Truck,6,76713,95,1062,23,9.5,12.28,32,34,Good,Low,4,No,50000-80000,52596.38246
Truck,6,145156,109,726,27,5,12.79,26,28,Moderate,Medium,12,Yes,0-3000,2433.223258
Sedan,5,128428,95,911,37,13.8,11.94,41,28,Worn,High,11,No,10000-25000,15056.86734
SUV,8,125629,93,1276,39,11.7,12.71,30,35,Good,High,8,No,50000-80000,70575.62185
Truck,9,158627,106,1502,22,7.6,12.18,28,29,Moderate,Low,10,Yes,10000-25000,17492.10336
Truck,9,137652,102,3007,17,9.6,12.29,26,34,Critical,Medium,4,No,3000-10000,8862.187607
Truck,6,188227,106,653,17,5.2,12.65,27,28,Moderate,High,2,No,0-3000,1927.378778
Truck,8,150147,105,2340,32,2.7,11.82,39,36,Worn,Low,10,No,25000-50000,28230.07342
Hatchback,3,118813,95,700,44,21.4,12.02,30,30,Good,High,2,No,50000-80000,50584.82879
Hatchback,8,108513,95,3267,32,17.7,11.8,45,31,Good,Medium,10,No,50000-80000,78828.62343
Sedan,12,199110,86,1124,33,15.1,12.18,25,30,Critical,High,9,No,10000-25000,10751.76489
SUV,12,78019,96,2843,41,8,12.71,41,28,Good,High,7,No,50000-80000,61394.84783
SUV,8,68375,91,1506,33,8.4,12.77,39,31,Good,High,3,Yes,25000-50000,26089.77654
SUV,4,244159,90,1696,22,9,12.28,35,29,Worn,Low,4,No,80000+,98946.20035
Truck,5,68796,111,2187,30,9.2,12.36,45,33,Good,High,6,No,3000-10000,3645.017691
Hatchback,8,190275,92,2530,30,20.3,12.35,33,36,Moderate,Medium,5,No,50000-80000,59366.3589
Hatchback,7,110980,92,687,32,15.6,12.77,26,30,Good,Low,8,Yes,50000-80000,67487.98103
SUV,4,223680,107,702,36,11.1,12.19,29,34,Worn,Medium,11,Yes,10000-25000,19345.65088
SUV,3,221195,97,1110,32,8.5,12.43,41,33,Moderate,High,8,No,25000-50000,37794.10065
Truck,9,223315,99,2969,24,9.9,12.56,28,28,Moderate,Low,1,No,50000-80000,59123.73551
Hatchback,7,71958,90,1626,40,19.2,12.18,28,36,Good,Low,7,No,80000+,96154.81371
Hatchback,12,68816,84,1299,37,15.1,12.63,27,29,Worn,Medium,1,No,80000+,92346.84986
SUV,2,95481,101,1806,37,11.9,12.49,39,34,Good,Low,10,No,80000+,99309.15334
Hatchback,8,118068,87,2292,39,20.2,12.72,38,33,Good,Low,4,No,80000+,96949.18186
SUV,8,206833,96,1261,33,11.1,11.74,26,28,Good,Medium,9,No,50000-80000,71203.80683
Sedan,3,39700,95,1794,27,15.4,12.55,41,33,Good,Low,2,No,80000+,89445.84519
Sedan,11,206296,83,1625,43,14.5,12.2,26,29,Critical,Low,6,No,50000-80000,61012.49192
Hatchback,10,7058,82,2934,42,20.9,11.73,43,35,Critical,Medium,7,No,25000-50000,41528.16093
Sedan,5,139631,99,2880,39,16.1,12.66,44,28,Worn,Medium,7,Yes,25000-50000,44201.04141
Hatchback,9,145457,94,3187,39,17.8,11.87,43,32,Worn,Medium,11,No,25000-50000,30555.65666
Truck,2,243128,107,1883,22,3.5,12.33,35,32,Good,Low,12,No,10000-25000,10370.5201
Truck,11,231804,110,2506,26,6.2,12.07,35,33,Moderate,High,11,Yes,0-3000,2553.602268
Truck,4,90323,96,1213,25,5.2,12.02,35,30,Good,Low,3,No,50000-80000,56868.55474
Truck,4,142702,100,2610,37,8,11.97,39,30,Moderate,Medium,9,No,25000-50000,26509.79115
Hatchback,9,12474,84,1450,39,19.7,12.35,45,36,Good,Medium,1,No,80000+,90172.41355
SUV,6,75418,100,2984,36,10.3,11.7,43,29,Good,Low,12,No,50000-80000,76980.57847
SUV,8,159584,104,2861,33,7.7,12.34,29,29,Good,Low,11,Yes,25000-50000,39123.37291
Truck,4,187935,102,2466,33,4.7,12.29,37,28,Worn,High,11,No,3000-10000,6604.242744
Sedan,4,230212,97,2005,39,12.4,11.77,26,28,Moderate,Medium,6,No,50000-80000,53366.0692
Hatchback,4,60570,90,1619,48,20,12.07,26,31,Good,Low,5,No,80000+,85760.10567
Hatchback,8,24663,90,1638,48,17.7,12.53,27,28,Moderate,Medium,5,No,50000-80000,66689.20619
SUV,6,72237,93,2300,32,12.7,12.15,38,29,Moderate,High,6,Yes,25000-50000,49233.02396
Hatchback,3,121197,91,2820,46,14.7,12.75,29,32,Good,High,4,No,50000-80000,50242.75274
Truck,2,205829,112,3132,25,7.1,12.37,44,36,Good,Medium,3,No,10000-25000,24945.81814
Truck,12,211416,107,973,22,6.9,12.19,26,31,Critical,High,12,No,0-3000,992.0404309
SUV,11,180737,98,2319,31,12.3,12.26,29,28,Good,Low,12,No,50000-80000,79524.34934
Truck,9,87755,110,1392,31,7.3,12.59,35,29,Good,High,3,No,3000-10000,3351.810727
Hatchback,8,124045,91,1086,29,16.1,12.65,44,28,Good,Medium,2,Yes,50000-80000,68515.09436
Sedan,10,242355,93,2930,43,16,12.48,42,30,Moderate,High,7,No,25000-50000,41819.56786
SUV,9,236249,99,3262,34,10.2,12.64,30,34,Good,Medium,6,No,50000-80000,54255.34569
Hatchback,2,60306,94,2695,39,14.7,12.53,45,35,Critical,Low,2,Yes,50000-80000,65512.28919
Sedan,12,47873,101,2615,35,15.7,12.78,34,34,Moderate,Low,4,No,50000-80000,75095.78263
Sedan,11,100116,92,2058,41,16.4,12.42,27,33,Moderate,High,12,No,10000-25000,14456.12648
Sedan,7,54973,95,2796,32,17.6,12.4,28,34,Worn,Low,6,No,50000-80000,73536.27015
Truck,6,127860,94,2282,37,10.7,11.81,45,29,Good,High,4,No,25000-50000,29063.85853
Sedan,6,41638,99,1948,30,17,12.41,43,30,Critical,Medium,7,No,10000-25000,19420.86157
Hatchback,8,28031,85,2401,41,15.6,12.14,42,34,Good,Low,10,Yes,80000+,86277.94007
Truck,11,218707,108,2375,18,5,12.51,40,32,Good,Low,1,No,10000-25000,18138.22502
Hatchback,4,178290,94,1559,33,16,11.94,30,30,Good,Medium,2,Yes,50000-80000,70073.70464
Hatchback,1,93075,89,1880,45,16.3,11.85,45,30,Good,Low,5,No,80000+,89452.25987
Truck,7,180189,103,2338,34,3.7,11.82,41,30,Moderate,Low,8,No,25000-50000,36722.81271
SUV,9,172936,90,892,25,13.7,12.14,35,30,Worn,Low,11,No,50000-80000,74971.07336
Hatchback,6,95207,94,1927,42,20,12.26,45,31,Good,High,5,Yes,25000-50000,42184.7703
Truck,6,144335,94,2101,20,9.1,12.35,32,31,Critical,High,2,No,3000-10000,4378.252673
SUV,5,131304,97,2305,32,12.2,12.79,37,32,Good,Low,6,No,80000+,88107.03326
Hatchback,11,114150,91,1796,45,21,12.79,29,36,Good,High,2,No,50000-80000,64372.02494
Hatchback,10,249098,83,3031,43,18.2,12.61,40,35,Worn,Low,8,No,80000+,86077.28741
Hatchback,9,182513,93,1062,45,20.8,12.46,30,36,Good,Medium,7,Yes,50000-80000,58559.56965
SUV,1,34891,108,1472,33,12.3,12,43,32,Good,Low,10,No,50000-80000,58940.5429
SUV,1,239259,98,3198,37,14.8,12.75,25,36,Moderate,High,11,No,10000-25000,16931.49386
Sedan,2,199445,86,1888,32,16.9,12.11,41,33,Worn,Medium,9,No,50000-80000,67769.05082
Sedan,4,72709,96,1744,38,16.2,12.19,36,32,Good,Low,9,Yes,50000-80000,73763.70902
SUV,2,204560,102,2846,35,10.3,12.08,40,31,Good,Medium,3,No,50000-80000,71270.67777
SUV,11,163691,103,919,42,9.6,12.52,41,29,Worn,Low,1,No,80000+,100041.8764
Sedan,1,178313,101,694,30,14.7,11.79,40,36,Critical,Low,6,No,25000-50000,35239.51405
Hatchback,10,66729,92,3170,38,15.8,12.02,29,29,Good,Medium,6,No,80000+,88815.44088
Sedan,12,157142,93,3028,42,15.7,12.21,35,35,Good,Low,4,No,80000+,94322.10214
Truck,11,173791,100,1777,18,7.2,12.13,27,32,Moderate,Low,12,No,3000-10000,6983.076342
Truck,9,135600,115,2563,32,9.9,12.54,33,30,Good,High,2,No,10000-25000,10533.59397
Truck,2,243706,109,898,17,5.3,11.8,45,33,Good,Medium,10,No,3000-10000,6828.400093
Truck,6,184698,101,3341,18,8,12.51,33,35,Good,Medium,12,No,3000-10000,8847.142528
SUV,10,114222,95,858,23,10.3,12.26,39,28,Moderate,Low,9,No,50000-80000,68971.74981
Sedan,2,128657,90,2556,41,14.1,11.81,30,36,Moderate,Medium,5,Yes,50000-80000,77608.46722
SUV,8,247511,91,1779,35,11.5,12.14,35,36,Moderate,Medium,9,Yes,50000-80000,75751.32346
Hatchback,7,36880,96,1864,37,20.6,11.95,40,34,Moderate,Low,5,Yes,50000-80000,70627.32534
Hatchback,10,197620,84,3451,40,13.9,12.26,36,34,Moderate,Medium,5,No,50000-80000,54079.94642
Truck,10,131087,106,2386,16,8.6,12.09,27,33,Good,Low,7,No,10000-25000,23873.20524
SUV,10,188081,102,723,23,9.9,12.51,35,35,Moderate,Low,12,Yes,25000-50000,28884.91906
Truck,9,187231,107,824,36,9.2,12.21,37,34,Moderate,Low,4,Yes,10000-25000,23386.40426
Sedan,1,126935,91,1653,44,15.3,12.27,38,35,Worn,Low,8,No,80000+,98434.09662
Truck,9,236816,114,996,26,7.7,12.42,45,35,Good,Low,8,No,25000-50000,33386.83739
Truck,10,73156,94,3171,28,8.1,12.27,37,32,Good,High,2,No,25000-50000,36232.77323
Hatchback,7,212763,99,735,33,15.6,12.64,28,31,Moderate,Medium,11,No,10000-25000,23079.42833
Hatchback,12,122932,87,3256,46,17.9,12.47,31,31,Worn,Medium,11,No,25000-50000,29047.86525
Hatchback,9,59427,96,2027,42,19.6,12.16,33,29,Worn,Medium,9,No,50000-80000,71959.47733
Truck,6,97598,97,1019,30,7.8,11.75,25,28,Moderate,Medium,7,No,25000-50000,30382.65942
Truck,6,124842,110,1399,26,8.4,12.25,31,36,Critical,Low,11,No,0-3000,2954.209515
Hatchback,3,169380,87,1689,41,18.6,12.74,30,36,Good,Low,5,No,80000+,98118.71596
Truck,5,32521,112,1701,31,6.1,12.01,44,28,Good,Low,2,Yes,25000-50000,30549.49914
Truck,11,10378,100,887,28,5.2,12.43,38,34,Good,Low,9,No,50000-80000,52692.32289
Sedan,11,141090,90,1617,41,13.6,11.7,31,32,Worn,High,11,No,10000-25000,21406.29115
Hatchback,8,101874,92,1336,44,14.3,12.6,29,29,Worn,High,8,Yes,25000-50000,37030.36519
SUV,7,187660,96,2978,32,11.2,12.48,44,29,Good,Low,8,No,80000+,84449.49597
Sedan,4,101088,97,3014,25,13.5,11.91,25,33,Worn,Low,4,No,50000-80000,74193.76336
Sedan,11,69850,97,1695,30,14.6,12.09,31,33,Moderate,Low,10,No,50000-80000,70746.26478
Truck,12,186033,102,2739,31,5,11.85,29,30,Good,Low,7,No,50000-80000,70128.85649
Hatchback,10,178098,89,1383,36,17.9,12.69,38,31,Good,Medium,8,No,80000+,96879.672
Sedan,12,102332,97,1707,36,13.8,12.53,29,36,Moderate,Medium,4,No,50000-80000,65708.60662
Sedan,6,83199,87,1911,42,12.9,12.65,32,31,Moderate,Low,3,No,80000+,85154.53978
Sedan,9,71807,90,914,45,19.1,11.9,45,33,Good,Low,12,No,50000-80000,64824.55653
Truck,8,237871,99,2963,17,8.3,12.55,30,34,Good,High,8,No,3000-10000,8141.901499
Sedan,8,222561,85,1003,28,17.4,12.38,28,36,Worn,Low,9,No,50000-80000,66208.82822
Truck,5,45537,103,2112,21,6.7,12.57,36,36,Good,Medium,7,Yes,10000-25000,12977.76651
Truck,7,226345,103,1798,29,4.9,12.26,34,36,Good,Low,11,No,25000-50000,44353.9542
Sedan,7,228400,87,1252,34,12.8,12.26,43,32,Worn,Medium,12,No,25000-50000,30243.84516
Truck,11,181111,109,1120,23,6.1,12.49,38,34,Good,Low,3,No,25000-50000,38143.64488
SUV,11,173527,95,1400,37,9.7,12.76,44,31,Good,Low,9,No,80000+,97748.25174
Hatchback,11,65734,87,3319,34,17,12.32,37,34,Critical,Low,2,Yes,25000-50000,31372.11979
SUV,5,54582,95,2741,22,10.9,11.7,27,33,Good,Low,11,No,50000-80000,79763.42482
Hatchback,9,80823,89,2013,35,20.3,12.08,39,33,Critical,Low,10,No,25000-50000,43934.5572
Sedan,4,207007,98,2874,37,17,11.84,43,33,Good,Low,2,No,80000+,88353.3557
SUV,5,248009,95,1026,25,13.3,12.44,43,30,Good,Low,11,No,50000-80000,65373.74502
Hatchback,5,35525,89,2633,31,18.1,11.73,37,29,Good,Low,10,No,80000+,93681.46373
Truck,10,40265,98,3388,27,5.7,12.73,45,34,Good,High,12,No,3000-10000,8481.237133
Hatchback,7,180462,94,816,40,16.2,12.63,38,34,Good,Low,12,Yes,50000-80000,56269.30371
Hatchback,3,67046,88,3496,31,18.1,11.75,44,29,Moderate,High,5,No,25000-50000,49754.47561
Truck,12,239251,101,2160,25,4,11.78,29,29,Moderate,High,1,Yes,10000-25000,18235.66434
Hatchback,9,242095,92,2701,27,21.9,11.75,27,31,Worn,Medium,3,No,50000-80000,50569.82179
Hatchback,2,190879,99,3194,30,19.1,12.4,28,36,Good,Low,4,No,50000-80000,59345.60356
SUV,12,114862,95,2143,42,10.2,12.43,30,36,Critical,Low,11,Yes,10000-25000,10678.40999
Hatchback,2,175922,87,880,37,18.9,12,36,30,Moderate,Medium,11,No,25000-50000,30248.21153
Hatchback,11,124409,84,3051,39,17.5,12.7,45,35,Good,Medium,1,No,80000+,86762.98629
SUV,3,133980,102,3178,30,9.8,12,33,35,Good,Medium,2,No,80000+,102240.4806
Truck,9,198750,110,806,23,8,12.16,28,34,Good,Medium,10,Yes,10000-25000,10566.74281
Hatchback,4,17767,96,3181,35,18.7,12.03,36,31,Good,Low,7,Yes,50000-80000,64857.59318
Truck,5,189391,110,1624,19,5.3,11.91,43,36,Good,Medium,1,Yes,3000-10000,9870.988179
SUV,5,161087,90,2497,26,11.1,12.46,41,33,Moderate,Medium,12,Yes,25000-50000,34434.33341
Sedan,3,203008,92,753,41,15.8,12.64,43,33,Good,Medium,8,No,80000+,84041.61947
Sedan,7,194514,93,2851,25,15.1,12.58,44,29,Worn,Low,10,No,50000-80000,52351.84188
Truck,10,217713,106,2620,30,6.5,12.63,35,28,Moderate,Low,9,Yes,10000-25000,14913.39837
Truck,9,125983,111,3072,31,9.9,11.73,31,30,Good,Medium,8,Yes,10000-25000,11794.35941
Truck,6,104186,103,944,15,5.4,12.72,39,34,Good,Low,5,Yes,10000-25000,13180.64209
Truck,11,148649,96,1977,20,7.2,12.68,37,32,Moderate,Low,8,No,10000-25000,13797.80717
Truck,2,201329,98,2073,36,9.4,12.14,39,31,Moderate,Medium,1,Yes,25000-50000,25256.5926
Hatchback,12,125763,89,2370,38,14.3,12.72,35,35,Moderate,Medium,8,No,50000-80000,78101.69482
Hatchback,8,67991,96,1381,44,15.7,12.33,30,34,Good,Medium,10,No,50000-80000,78678.4618
Truck,6,139703,104,2025,29,6.8,11.7,28,29,Worn,Low,10,No,25000-50000,49476.5683
Hatchback,4,182685,86,976,36,21.7,12.11,41,33,Worn,Medium,2,Yes,50000-80000,59360.82727
Truck,6,178808,108,1730,28,8,11.84,25,36,Moderate,Medium,8,Yes,3000-10000,5371.523533
Sedan,10,239490,97,1464,35,11.8,12.77,28,35,Moderate,Low,1,No,50000-80000,64927.37153
SUV,3,213097,104,2443,34,12.7,11.77,41,32,Moderate,Low,2,No,80000+,103671.0097
Sedan,6,194741,95,3140,32,14.8,12.26,30,32,Good,Low,7,No,50000-80000,75627.35779
Sedan,2,127192,90,2859,29,14.7,12.45,30,29,Worn,Medium,3,No,50000-80000,69346.5868
Sedan,5,204361,85,1178,32,14.9,11.78,37,30,Good,Low,3,No,80000+,92586.97963
SUV,4,18979,96,3358,29,12.1,12.32,30,32,Good,Medium,7,No,50000-80000,63860.21923
Sedan,7,135507,100,1337,38,17,12.24,27,31,Good,Low,1,Yes,80000+,89422.92722
Hatchback,5,89131,89,3145,38,17.3,12.61,34,30,Good,Medium,6,No,80000+,98681.08492
Sedan,9,32773,91,1148,28,17,12.77,41,33,Good,High,4,No,25000-50000,42000.77868
Truck,10,84943,95,1005,21,9.3,12.03,35,34,Good,Low,9,No,25000-50000,42668.19762
SUV,6,179479,93,1934,28,13.1,11.84,38,30,Good,Low,12,No,50000-80000,72251.21779
Sedan,3,29322,94,3401,36,12.5,12.73,41,34,Good,High,9,No,50000-80000,64108.63818
SUV,2,56327,93,2372,33,10.5,12.66,29,36,Worn,Low,2,No,80000+,103729.8237
Sedan,11,38380,92,2721,25,15.4,11.83,31,30,Moderate,Low,5,No,50000-80000,68784.78709
Hatchback,7,187390,93,3440,34,15.6,12.08,41,33,Good,Low,8,No,80000+,95123.16811
Sedan,6,113725,94,1989,30,12.2,12.37,27,36,Good,Medium,9,Yes,50000-80000,67840.05785
Sedan,8,198287,88,3347,39,16.5,12.28,42,36,Good,High,6,No,50000-80000,79186.98685
Truck,12,107097,115,1020,29,3.5,12.08,40,30,Good,Medium,6,No,10000-25000,10853.57553
Truck,6,239202,102,1509,31,7.6,11.86,41,34,Moderate,Medium,5,No,25000-50000,25515.58213
Truck,3,207085,105,3427,32,8.4,11.8,31,30,Good,Low,12,Yes,10000-25000,17988.09992
Truck,8,9374,106,2534,28,6.9,12.11,41,32,Good,Low,1,No,25000-50000,43551.02163
Truck,4,161654,93,1983,31,6,12.38,33,34,Moderate,Low,8,No,50000-80000,55962.63263
Hatchback,2,152733,89,1304,33,19.4,12.15,36,29,Good,Low,8,Yes,50000-80000,57088.50133
Truck,9,104453,101,1877,22,5.7,12.14,41,29,Good,Low,8,No,50000-80000,62664.08281
